cod_amostra;ct_medias;Legenda
42850001;26.905;Baseline
42850002;33.105;Baseline
42850003;35.545;Baseline
42850004;27.43;Baseline
42850005;29.37;Baseline
42850006;36.13;Baseline
42850007;31.225;Baseline
42850008;39.46;Baseline
42850009;35.04;Baseline
42850010;31.175;Baseline
42850011;31.195;Baseline
42850012;36.23;Baseline
42850013;31.78;Baseline
42850014;31.605;Baseline
42850015;36.17;Baseline
42850016;36.04;Baseline
42850017;31.17;Baseline
42850018;30.74;Baseline
42850019;32.395;Baseline
42850020;32.305;Baseline
42850022;31.005;Baseline
42850024;37.28;Baseline
42850025;37.21;Baseline
42850027;35.125;Baseline
42850028;34.35;Baseline
42850029;33.72;Baseline
42850030;28.99;Baseline
42850031;26.81;Baseline
42850032;36.77;Baseline
42850033;29.335;Baseline
42850034;23.93;Baseline
42850035;30.135;Baseline
42850036;29.74;Baseline
42850037;33.965;Baseline
42850038;25.555;Baseline
42850039;30.75;Baseline
42850040;31.72;Baseline
42850041;27.115;Baseline
42850042;32.365;Baseline
42850043;30.615;Baseline
42850044;29.7;Baseline
42850045;38.615;Baseline
42850046;34.68;Baseline
42850048;32.17;Baseline
42850049;33.35;Baseline
42850050;32;Baseline
42850051;29.76;Baseline
42850052;27.04;Baseline
42850053;29.355;Baseline
42850055;24.39;Baseline
42850056;28.655;Baseline
42850057;25.425;Baseline
42850058;28.145;Baseline
42850059;25.085;Baseline
42850060;27.49;Baseline
42850061;30.98;Baseline
42850062;32.835;Baseline
42850063;33.88;Baseline
42850064;34.405;Baseline
42850065;36.83;Baseline
42850066;28.925;Baseline
42850067;31.95;Baseline
42850068;30.69;Baseline
42850069;37.365;Baseline
42850070;32.22;Baseline
42850071;35;Baseline
42850072;29.3;Baseline
42850073;32.27;Baseline
42850074;33.585;Baseline
42850075;33.455;Baseline
42850076;33.725;Baseline
42850077;32.9;Baseline
42850078;30.18;Baseline
42850079;30.425;Baseline
42850080;33.1;Baseline
42850081;28.405;Baseline
42850082;25.875;Baseline
42850083;20.92;Baseline
42850084;27.21;Baseline
42850085;28.16;Baseline
42850086;28.105;Baseline
42850088;32.835;Baseline
42850089;31.645;Baseline
42850090;27.835;Baseline
42850091;28.97;Baseline
42850092;31.66;Baseline
42850093;30.495;Baseline
42850094;28.42;Baseline
42850095;31.91;Baseline
42850096;28.95;Baseline
42850097;32.67;Baseline
42850098;33.885;Baseline
42850099;28.235;Baseline
42850100;27.335;Baseline
42850101;36.515;Baseline
42850102;31.715;Baseline
42850103;32.265;Baseline
42850104;34.52;Baseline
42850105;35.815;Baseline
42850106;29.84;Baseline
42850107;32.35;Baseline
42850108;29.965;Baseline
42850109;32.975;Baseline
42850110;27.18;Baseline
42850111;30.46;Baseline
42850112;34.98;Baseline
42850113;28.69;Baseline
42850114;30.045;Baseline
42850115;28.11;Baseline
42850116;32;Baseline
42850117;26.875;Baseline
42850118;30.3;Baseline
42850119;27.955;Baseline
42850120;32.355;Baseline
42850121;26.755;Baseline
42850122;28.1;Baseline
42850123;29.465;Baseline
42850124;29.565;Baseline
42850125;28.7;Baseline
42850126;30.07;Baseline
42850127;32.175;Baseline
42850128;27.525;Baseline
42850129;29.74;Baseline
42850130;33.05;Baseline
42850131;28.49;Baseline
42850132;29.485;Baseline
42850133;29.865;Baseline
42850134;31.315;Baseline
42850135;30.25;Baseline
42850136;31.325;Baseline
42850137;35.795;Baseline
42850138;31.035;Baseline
42850139;32.43;Baseline
42850140;35.34;Baseline
42850141;29.22;Baseline
44000001;31.08;Baseline
44000002;32.705;Baseline
44000003;24.445;Baseline
44000004;29.34;Baseline
44000005;31.895;Baseline
44000006;27.73;Baseline
44000007;26.325;Baseline
44000009;33.34;Baseline
44000010;34.265;Baseline
44000012;31.535;Baseline
44000013;32.165;Baseline
44000014;30.905;Baseline
44000016;38.5;Baseline
44000017;30.35;Baseline
44000018;30.065;Baseline
44000019;28.625;Baseline
44000020;36.43;Baseline
44000021;27.48;Baseline
44000022;31.2;Baseline
44000023;27.535;Baseline
44000024;27.105;Baseline
44000025;27.09;Baseline
44000026;31.84;Baseline
44000028;27.65;Baseline
44000029;31.175;Baseline
44000030;28.57;Baseline
44000031;29.81;Baseline
44000032;27.35;Baseline
44000033;30.19;Baseline
44000034;31.035;Baseline
44000035;34.55;Baseline
44000036;22.9;Baseline
44000037;28.63;Baseline
44000038;33.985;Baseline
44000039;24.465;Baseline
44000040;28.07;Baseline
44000041;34.81;Baseline
44000042;32.665;Baseline
44000044;30.79;Baseline
44000045;26.12;Baseline
44000046;31.23;Baseline
44000048;28.99;Baseline
44000049;34.08;Baseline
44000050;30.55;Baseline
44000051;24.55;Baseline
44000052;30.82;Baseline
44000053;22;Baseline
44000054;28.75;Baseline
44000055;28.41;Baseline
44000056;31.45;Baseline
44000057;30.98;Baseline
44000058;33.44;Baseline
44000059;32.79;Baseline
44000060;31.13;Baseline
44000061;28.62;Baseline
44000062;26.8;Baseline
44000063;31.04;Baseline
44000064;36.74;Baseline
44000065;33.69;Baseline
44000066;26.13;Baseline
44000067;29.85;Baseline
44000068;33.45;Baseline
44000069;34.73;Baseline
44000070;31.88;Baseline
44000071;28.45;Baseline
44000072;20.9;Baseline
44000073;26.09;Baseline
44000074;28.83;Baseline
44000076;31.94;Baseline
44000078;27.865;Baseline
44000079;29.04;Baseline
44000080;32.8;Baseline
44000081;33.345;Baseline
44000082;29.74;Baseline
44000108;32.815;Baseline
44000109;32.63;Baseline
44000110;32.225;Baseline
44000111;35.855;Baseline
44000112;29.06;Baseline
44000113;28.83;Baseline
44000114;30.035;Baseline
44000115;27.62;Baseline
44000116;32.99;Baseline
44000117;27.845;Baseline
44000118;25.455;Baseline
44000119;30.275;Baseline
44000120;24.145;Baseline
44000121;30.33;Baseline
44000125;26.54;Baseline
44000126;27.71;Baseline
44000127;28.885;Baseline
44000128;30.405;Baseline
44000129;27.27;Baseline
44000130;29.045;Baseline
44000131;25.74;Baseline
44000132;20.945;Baseline
44000133;32.735;Baseline
44000134;26.325;Baseline
44000135;30.015;Baseline
44000136;29.665;Baseline
44000137;27.18;Baseline
44000138;26.305;Baseline
44000139;28.805;Baseline
44000140;26.38;Baseline
44000141;32.135;Baseline
44000142;33.06;Baseline
44000143;25.8;Baseline
44000144;31.575;Baseline
44000145;29.935;Baseline
44000146;34.985;Baseline
44000147;23.125;Baseline
44000148;26.835;Baseline
44000149;25.035;Baseline
44000150;27.105;Baseline
44000151;21.79;Baseline
44000152;34.325;Baseline
44000153;31.325;Baseline
44000154;30.27;Baseline
44000155;27.22;Baseline
44000156;27.755;Baseline
44000157;30.6;Baseline
44000158;33.79;Baseline
44000159;33.415;Baseline
44000160;29.365;Baseline
44000161;32.455;Baseline
44000162;31.375;Baseline
44000163;29.405;Baseline
44000164;29.535;Baseline
44000165;26.08;Baseline
44000166;25.03;Baseline
44000167;24.92;Baseline
44000168;30.16;Baseline
44000169;28.35;Baseline
44000170;28.755;Baseline
44000171;36.19;Baseline
44000172;35.9;Baseline
44000173;28.345;Baseline
44000174;27.475;Baseline
44000175;24.905;Baseline
44000176;26.97;Baseline
44000177;33.045;Baseline
44000178;32.395;Baseline
44000179;31.515;Baseline
44000180;25.3;Baseline
44000182;30.495;Baseline
44000183;24.34;Baseline
44000184;27.31;Baseline
44000185;27.99;Baseline
44000186;28.645;Baseline
44000187;32.05;Baseline
44000188;33.765;Baseline
44000189;26.535;Baseline
44000190;27.735;Baseline
44000191;25.2;Baseline
44000192;26.455;Baseline
44000193;34.52;Baseline
44000194;27.42;Baseline
44000195;22.855;Baseline
44000196;37.09;Baseline
44000197;30.935;Baseline
44000198;27.57;Baseline
44000199;34.895;Baseline
44000200;26.485;Baseline
44000201;30.39;Baseline
44000202;24.065;Baseline
44000203;32.57;Baseline
44000204;29.95;Baseline
44000206;26.445;Baseline
4400 0072;22;Decaimento
4400 0073;27;Decaimento
4400 0156;32;Decaimento
4400 0039;22.445;Decaimento
4400 0036;22.595;Decaimento
142850034;22.685;Decaimento
4400 0132;23.815;Decaimento
4400 0025;23.965;Decaimento
4400 0151;24.125;Decaimento
142850083;24.235;Decaimento
4400 0183;25.115;Decaimento
142850090;25.135;Decaimento
142850038;25.575;Decaimento
142850100;25.945;Decaimento
142850122;26.015;Decaimento
4400 0030;26.275;Decaimento
142850031;26.395;Decaimento
4400 0180;26.535;Decaimento
4400 0191;26.545;Decaimento
142850082;26.565;Decaimento
142850099;26.595;Decaimento
142850057;26.675;Decaimento
4400 0166;26.705;Decaimento
4400 0037;26.725;Decaimento
142850056;27.105;Decaimento
4400 0078;27.205;Decaimento
4400 0017;27.315;Decaimento
142850141;27.565;Decaimento
142850096;27.695;Decaimento
142850060;27.725;Decaimento
4400 0192;27.765;Decaimento
4400 0138;27.925;Decaimento
142850114;28.035;Decaimento
4400 0033;28.095;Decaimento
142850036;28.275;Decaimento
4400 0079;28.365;Decaimento
142850051;28.375;Decaimento
4400 0113;28.385;Decaimento
4400 0189;28.385;Decaimento
4400 0034;28.545;Decaimento
4400 0184;28.575;Decaimento
142850111;28.625;Decaimento
4400 0148;28.755;Decaimento
142850033;28.835;Decaimento
142850053;28.865;Decaimento
142850084;29.055;Decaimento
142850093;29.055;Decaimento
4400 0115;29.085;Decaimento
4400 0185;29.185;Decaimento
142850079;29.445;Decaimento
4400 0140;29.485;Decaimento
4400 0013;29.505;Decaimento
4400 0155;29.555;Decaimento
4400 0121;29.675;Decaimento
142850118;29.775;Decaimento
4400 0150;29.785;Decaimento
142850044;29.815;Decaimento
4400 0012;29.845;Decaimento
4400 0173;29.955;Decaimento
4400 0170;29.965;Decaimento
142850039;30.035;Decaimento
142850108;30.045;Decaimento
142850043;30.065;Decaimento
142850094;30.065;Decaimento
142850072;30.335;Decaimento
4400 0127;30.365;Decaimento
4400 0134;30.555;Decaimento
4400 0112;30.575;Decaimento
142850022;30.705;Decaimento
4400 0114;30.835;Decaimento
4400 0139;30.915;Decaimento
142850139;31.075;Decaimento
4400 0009;31.135;Decaimento
4400 0130;31.145;Decaimento
142850048;31.155;Decaimento
142850133;31.195;Decaimento
4400 0163;31.275;Decaimento
4400 0129;31.365;Decaimento
142850103;31.385;Decaimento
142850078;31.455;Decaimento
4400 0204;31.645;Decaimento
4400 0182;31.665;Decaimento
142850077;31.965;Decaimento
142850123;31.965;Decaimento
142850068;32.035;Decaimento
142850088;32.185;Decaimento
142850067;32.345;Decaimento
4400 0109;32.395;Decaimento
142850109;32.465;Decaimento
142850049;32.585;Decaimento
142850037;32.625;Decaimento
4400 0081;32.735;Decaimento
142850080;32.785;Decaimento
142850061;32.845;Decaimento
4400 0179;32.855;Decaimento
4400 0154;32.895;Decaimento
142850120;32.945;Decaimento
4400 0035;33.175;Decaimento
142850076;33.195;Decaimento
4400 0201;33.215;Decaimento
4400 0110;33.245;Decaimento
4400 0041;33.415;Decaimento
4400 0162;33.455;Decaimento
4400 0016;33.475;Decaimento
142850074;33.655;Decaimento
142850064;33.865;Decaimento
142850063;33.915;Decaimento
142850129;33.955;Decaimento
4400 0203;33.955;Decaimento
4400 0141;34.265;Decaimento
4400 0133;34.715;Decaimento
142850098;34.795;Decaimento
4400 0027;34.885;Decaimento
142850095;34.965;Decaimento
142850130;35.085;Decaimento
142850097;35.105;Decaimento
4400 0111;35.195;Decaimento
142850028;35.325;Decaimento
142850105;35.405;Decaimento
4400 0142;35.535;Decaimento
142850071;35.915;Decaimento
142850089;36.055;Decaimento
142850140;36.645;Decaimento
4400 0199;36.645;Decaimento
142850027;37.035;Decaimento
142850135;37.085;Decaimento
142850126;37.485;Decaimento
4400 0171;38.205;Decaimento
4400 0007;23.07;Decaimento
4400 0024;23.93;Decaimento
142850055;24.05;Decaimento
4400 0023;24.68;Decaimento
4400 0053;24.68;Decaimento
4400 0120;24.71;Decaimento
4400 0066;24.78;Decaimento
4400 0040;25.24;Decaimento
4400 0051;25.29;Decaimento
4400 0118;25.4;Decaimento
4400 0028;25.57;Decaimento
4400 0019;25.79;Decaimento
4400 0167;25.83;Decaimento
4400 0195;25.88;Decaimento
4400 0062;25.94;Decaimento
4400 0147;25.94;Decaimento
142850041;25.99;Decaimento
4400 0175;26.01;Decaimento
4400 0032;26.15;Decaimento
4400 0006;26.19;Decaimento
142850110;26.36;Decaimento
4400 0004;26.69;Decaimento
4400 0043;26.73;Decaimento
4400 0021;26.95;Decaimento
142850059;26.98;Decaimento
142850052;27.17;Decaimento
4400 0202;27.35;Decaimento
4400 0165;27.37;Decaimento
4400 0018;27.45;Decaimento
4400 0031;27.54;Decaimento
4400 0022;27.62;Decaimento
4400 0131;27.68;Decaimento
4400 0045;27.78;Decaimento
142850125;27.84;Decaimento
4400 0003;27.93;Decaimento
4400 0061;27.98;Decaimento
142850115;28.03;Decaimento
142850081;28.07;Decaimento
142850131;28.1;Decaimento
4400 0143;28.18;Decaimento
4400 0071;28.2;Decaimento
4400 0074;28.24;Decaimento
4400 0117;28.26;Decaimento
4400 0048;28.33;Decaimento
4400 0054;28.33;Decaimento
4400 0055;28.38;Decaimento
142850030;28.4;Decaimento
4400 0029;28.47;Decaimento
4400 0052;28.51;Decaimento
4400 0149;28.52;Decaimento
142850086;28.55;Decaimento
4400 0206;28.56;Decaimento
142850106;28.58;Decaimento
4400 0057;28.63;Decaimento
4400 0174;28.66;Decaimento
4400 0200;28.69;Decaimento
142850058;28.71;Decaimento
4400 0001;28.88;Decaimento
4400 0125;28.94;Decaimento
142850085;28.98;Decaimento
4400 0176;28.99;Decaimento
4400 0014;29.08;Decaimento
142850113;29.22;Decaimento
4400 0044;29.29;Decaimento
4400 0169;29.32;Decaimento
142850121;29.33;Decaimento
4400 0050;29.4;Decaimento
4400 0126;29.42;Decaimento
4400 0190;29.43;Decaimento
4400 0119;29.46;Decaimento
4400 0186;29.64;Decaimento
142850091;29.78;Decaimento
142850066;29.84;Decaimento
4400 0067;29.93;Decaimento
142850112;29.96;Decaimento
4400 0082;30.01;Decaimento
4400 0060;30.07;Decaimento
4400 0042;30.08;Decaimento
142850035;30.15;Decaimento
4400 0137;30.19;Decaimento
142850107;30.26;Decaimento
142850138;30.35;Decaimento
4400 0002;30.45;Decaimento
4400 0198;30.5;Decaimento
4400 0026;30.51;Decaimento
4400 0063;30.67;Decaimento
142850128;30.72;Decaimento
4400 0005;30.87;Decaimento
4400 0136;31.09;Decaimento
4400 0194;31.17;Decaimento
142850102;31.29;Decaimento
4400 0108;31.29;Decaimento
142850119;31.38;Decaimento
4400 0080;31.41;Decaimento
142850136;31.45;Decaimento
4400 0164;31.46;Decaimento
4400 0046;31.61;Decaimento
142850132;31.62;Decaimento
4400 0070;31.62;Decaimento
4400 0168;31.78;Decaimento
142850042;31.89;Decaimento
4400 0038;31.93;Decaimento
142850040;32.02;Decaimento
4400 0076;32.03;Decaimento
4400 0020;32.06;Decaimento
142850050;32.08;Decaimento
4400 0059;32.11;Decaimento
142850075;32.26;Decaimento
4400 0056;32.32;Decaimento
4400 0197;32.32;Decaimento
4400 0065;32.35;Decaimento
4400 0128;32.38;Decaimento
4400 0069;32.45;Decaimento
4400 0058;32.49;Decaimento
142850073;32.53;Decaimento
4400 0010;32.54;Decaimento
142850117;32.55;Decaimento
4400 0160;32.55;Decaimento
4400 0064;32.68;Decaimento
4400 0135;32.7;Decaimento
4400 0049;32.79;Decaimento
142850062;32.87;Decaimento
142850029;33.01;Decaimento
142850046;33.15;Decaimento
4400 0116;33.16;Decaimento
4400 0144;33.17;Decaimento
4400 0145;33.22;Decaimento
4400 0011;33.26;Decaimento
4400 0187;33.26;Decaimento
4400 0153;33.57;Decaimento
142850104;33.58;Decaimento
142850116;33.86;Decaimento
4400 0015;33.86;Decaimento
142850069;33.94;Decaimento
4400 0157;34.04;Decaimento
4400 0177;34.05;Decaimento
142850070;34.09;Decaimento
142850124;34.14;Decaimento
4400 0178;34.29;Decaimento
4400 0188;34.34;Decaimento
142850101;34.38;Decaimento
142850092;34.77;Decaimento
4400 0068;35.2;Decaimento
4400 0161;35.37;Decaimento
4400 0047;35.75;Decaimento
4400 0193;36.01;Decaimento
4400 0172;36.13;Decaimento
4400 0159;36.25;Decaimento
4400 0152;36.6;Decaimento
4400 0158;36.63;Decaimento
4400 0008;36.8;Decaimento
142850023;36.93;Decaimento
4400 0146;37.37;Decaimento
142850065;37.79;Decaimento
142850137;37.83;Decaimento
142850024;38.3;Decaimento
